"id","choice","pBB","pFM","pHse","pGen","pSS","income"
2100560,2,0.67,0.99,0.57,0.49,0.85,17.5
2100610,7,0.67,1.08,0.57,0.53,0.85,87.5
2100834,7,0.5,1.09,0.57,0.36,0.75,67.5
2100875,7,0.67,0.99,0.57,0.49,0.71,32.5
2101188,3,0.67,1.08,0.57,0.39,0.85,7.5
2101303,2,0.59,1.09,0.57,0.33,0.85,27.5
2101378,2,0.5,1.09,0.57,0.34,0.85,12.5
2101618,7,0.58,0.99,0.29,0.34,0.79,22.5
2101675,4,0.53,0.99,0.33,0.33,0.85,17.5
2101741,7,0.58,0.99,0.45,0.33,0.85,27.5
2101758,2,0.61,0.99,0.45,0.33,0.85,55
2102046,2,0.5,1.01,0.57,0.36,0.66,7.5
2102087,2,0.61,0.99,0.45,0.33,0.85,7.5
2102186,2,0.67,1.09,0.57,0.36,0.85,22.5
2102251,4,0.67,1.1,0.57,0.36,0.85,27.5
2102285,3,0.5,0.99,0.29,0.33,0.79,12.5
2102426,2,0.61,0.99,0.45,0.33,0.85,37.5
2103309,4,0.67,1.08,0.57,0.45,0.85,22.5
2103630,2,0.29,1.09,0.57,0.36,0.85,27.5
2103879,5,0.58,0.99,0.29,0.33,0.79,7.5
2103911,7,0.67,1.08,0.57,0.49,0.85,47.5
2103978,2,0.61,0.99,0.45,0.33,0.85,17.5
2104695,7,0.61,0.99,0.57,0.36,0.85,42.5
2104919,7,0.67,1.01,0.57,0.49,0.88,22.5
2105254,4,0.67,1.08,0.57,0.49,0.85,22.5
2105296,4,0.61,0.99,0.57,0.36,0.85,22.5
2105932,2,0.61,0.99,0.45,0.33,0.85,17.5
2106294,2,0.61,0.99,0.49,0.33,0.85,27.5
2106567,2,0.61,0.99,0.49,0.33,0.85,12.5
2106799,2,0.67,1.08,0.57,0.36,0.85,22.5
2107391,5,0.67,1.09,0.57,0.33,0.85,17.5
2107706,4,0.61,0.99,0.57,0.36,0.85,32.5
2107888,2,0.29,1.09,0.57,0.36,0.85,22.5
2107953,7,0.5,0.99,0.33,0.34,0.85,32.5
2107979,5,0.67,1.08,0.57,0.49,0.85,12.5
2108209,4,0.67,1.09,0.57,0.36,0.85,17.5
2108225,3,0.67,1.08,0.57,0.33,0.85,32.5
2108431,2,0.5,1.09,0.57,0.36,0.85,12.5
2108530,2,0.5,1.09,0.57,0.33,0.85,22.5
2108548,7,0.67,1.09,0.57,0.36,0.85,17.5
2108621,3,0.45,0.99,0.45,0.33,0.89,32.5
2108670,2,0.29,1.09,0.57,0.36,0.85,32.5
2108704,5,0.61,0.99,0.49,0.33,0.85,42.5
2109033,4,0.59,1.08,0.57,0.36,0.85,27.5
2109686,7,0.67,1.08,0.39,0.49,0.85,12.5
2109967,7,0.67,1.09,0.39,0.49,0.88,7.5
2109991,3,0.39,0.99,0.45,0.33,0.85,47.5
2110296,4,0.67,1.09,0.57,0.36,0.85,32.5
2110817,2,0.61,1.09,0.29,0.36,0.85,22.5
2110965,5,0.58,0.99,0.29,0.33,0.79,55
2111013,3,0.67,1.09,0.57,0.36,0.85,22.5
2111120,3,0.67,1.08,0.57,0.49,0.85,37.5
2111427,7,0.67,0.99,0.57,0.49,0.88,42.5
2111526,7,0.5,0.99,0.57,0.36,0.79,12.5
2111948,2,0.59,0.99,0.57,0.49,0.85,12.5
2112243,5,0.67,0.99,0.57,0.49,0.85,22.5
2112847,4,0.59,0.99,0.57,0.36,0.85,32.5
2113019,7,0.67,1.08,0.57,0.45,0.7,37.5
2113175,3,0.67,1.09,0.57,0.33,0.7,17.5
2113266,5,0.67,1.09,0.57,0.33,0.85,37.5
2113464,2,0.5,1.09,0.57,0.33,0.85,32.5
2113472,3,0.67,0.99,0.57,0.39,0.86,12.5
2113639,2,0.61,0.99,0.45,0.33,0.85,27.5
2113779,2,0.29,1.09,0.57,0.36,0.85,37.5
2113910,7,0.67,1.09,0.57,0.39,0.6,17.5
2114025,7,0.58,0.99,0.45,0.33,0.85,17.5
2114512,2,0.5,1.09,0.57,0.33,0.85,17.5
2114892,7,0.67,1.09,0.57,0.45,0.7,27.5
2115279,5,0.67,1.11,0.57,0.49,0.85,17.5
2115469,4,0.61,0.99,0.57,0.36,0.85,27.5
2115782,2,0.61,0.99,0.45,0.33,0.85,7.5
2115964,4,0.5,1.09,0.29,0.38,0.85,27.5
2116509,3,0.39,0.99,0.45,0.33,0.65,17.5
2116871,3,0.67,1.08,0.57,0.45,0.7,42.5
2117226,3,0.67,0.99,0.57,0.49,0.85,37.5
2117242,2,0.61,0.99,0.45,0.33,0.85,17.5
2117499,4,0.58,0.99,0.45,0.33,0.85,55
2117523,7,0.61,0.99,0.49,0.33,0.85,27.5
2117549,5,0.59,1.08,0.57,0.36,0.85,32.5
